Normal Train SISNR,Normal Test SISNR,Normal Train CL Loss,Normal-few Train SISNR,Normal-few Test SISNR,Normal-few Train CL Loss,SimSiam Train SISNR,SimSiam Test SISNR,SimSiam Train CL Loss,SimSiam-few Train SISNR,SimSiam-few Test SISNR,SimSiam-few Train CL Loss,SimSiam-pretrain Train SISNR,SimSiam-pretrain Test SISNR,SimSiam-pretrain Train CL Loss,SimSiam-round Train SISNR,SimSiam-round Test SISNR,SimSiam-round Train CL Loss
0.064774975,1.627274914,-0.374704815,1.594513816,0.780205124,-0.454811777,6.05,6.767,-0.969,7.656465961,4.897305755,-0.950927123,8.760435581,8.339818517,-0.460889706,8.821276605,8.455044222,-0.44601432
0.034812184,1.614034257,-0.37201687,1.702277522,0.842103256,-0.457106876,6.057,6.827,-0.969,7.738632617,5.080725251,-0.952032445,8.886076093,8.388559699,-0.459838264,8.883654565,8.216187,-0.439980251
0.06813047,1.750044521,-0.373768272,1.59533168,0.725753414,-0.449429636,6.073,6.605,-0.97,7.747339172,4.874952193,-0.951993085,8.880580038,8.23914721,-0.457640881,8.913778722,8.014171402,-0.434792774
0.135660233,1.766077337,-0.373091912,1.639539311,0.686408626,-0.455307621,6.019,6.664,-0.969,7.574535447,5.25025041,-0.951161087,8.898674861,8.309249155,-0.453804452,8.991701871,8.428910915,-0.432365636
0.1251126,1.710278985,-0.376065514,1.730461001,0.817014304,-0.454335728,6.153,6.695,-0.97,7.800719169,5.276911208,-0.951924276,9.030985892,8.196584622,-0.452541313,8.993940145,8.501113002,-0.420336379
0.083657571,1.661858004,-0.371701546,1.606605061,0.825054166,-0.452298815,6.12,6.844,-0.971,7.730964691,5.095714312,-0.9514605,9.022789866,8.391475876,-0.450056511,9.058350146,8.281644527,-0.416900137
0.177814363,1.644635602,-0.373684249,1.626529571,0.789732362,-0.450882559,6.084,6.756,-0.97,7.902432596,4.997543471,-0.953008644,9.02550146,7.925284433,-0.445922094,9.025023818,8.594467672,-0.40722547
0.170257517,1.741556871,-0.37360374,1.615682344,0.890199302,-0.451813188,6.118,6.7,-0.97,7.782220564,5.025866989,-0.95134449,9.030895889,8.400758855,-0.44692431,9.250829399,8.386475301,-0.410858531
0.133190196,1.879743606,-0.3671497,1.716915365,0.800791452,-0.455377587,6.077,6.856,-0.97,7.632237265,5.188508507,-0.950325141,9.179800421,8.484135532,-0.446220319,9.142435431,8.507621479,-0.404067062
0.175781984,1.752614564,-0.372300143,1.5277895,0.794337227,-0.450417777,6.222,6.572,-0.971,7.832492567,5.24213272,-0.953100454,9.258151561,7.942934116,-0.440587791,9.190114319,8.298062611,-0.400168466
0.189839308,1.654244712,-0.372823912,1.68112592,0.879953185,-0.456695111,6.113,6.678,-0.972,7.834709321,5.057805151,-0.952465296,9.232967794,8.554623278,-0.44150291,8.914772063,8.348451138,-0.529906554
0.209015569,1.744285661,-0.370243447,1.643458086,0.799896338,-0.450157472,6.09,6.94,-0.971,7.83958149,5.023219435,-0.952611954,9.374606997,8.432362541,-0.440139475,9.12085712,8.359939313,-0.685954731
0.206288412,1.794088902,-0.368306018,1.695879971,0.806848467,-0.456022184,6.201,6.86,-0.971,7.852880647,4.992294345,-0.952462056,9.327039033,8.169588264,-0.439888891,9.149974376,8.385651755,-0.773942042
0.264608114,1.863501723,-0.372680195,1.75080822,0.744266901,-0.45407896,6.286,6.976,-0.972,7.89165986,5.19641424,-0.95228584,9.327556133,8.76987648,-0.438765245,9.330935299,8.437870852,-0.837841181
0.269235946,1.666793488,-0.372533322,1.648711893,0.860102963,-0.449010629,6.21,6.829,-0.972,7.928048718,5.133925296,-0.952107305,9.335919172,8.304017226,-0.434013169,9.266435772,8.441490006,-0.873794852
0.29045213,1.826728107,-0.373546131,1.732064005,1.032247974,-0.453463825,6.313,6.708,-0.972,7.834344525,5.154459389,-0.951785451,9.356252432,8.879618772,-0.433325978,9.362516791,8.37016689,-0.898622632
0.269798995,1.881264509,-0.372350182,1.829307971,0.78045293,-0.457082464,6.299,6.777,-0.972,7.922947038,5.166756071,-0.951973904,9.566143274,8.471151439,-0.436419781,9.310997933,8.568868017,-0.914162086
0.19965762,1.691504628,-0.371110685,1.699707212,1.005272918,-0.45467957,6.337,6.937,-0.972,7.963150855,5.152610194,-0.952257349,9.522880852,8.828864948,-0.431509563,9.397787362,8.303616794,-0.925368965
0.357368919,1.740175653,-0.375094454,1.759685159,1.056817201,-0.457984795,6.237,6.971,-0.972,7.933264302,5.009023732,-0.951824817,9.511278272,8.580925878,-0.424891847,9.333084315,8.242583108,-0.933685629
0.246531126,1.909325778,-0.36772249,1.682259552,0.809310354,-0.452388525,6.384,6.913,-0.973,7.909821464,5.319351267,-0.951979453,9.554332197,8.379769985,-0.428308439,9.35404557,8.481348546,-0.939091565
0.186867972,1.794647083,-0.367693529,1.804673226,0.851236034,-0.458922545,6.203,6.883,-0.972,8.046590067,4.934051955,-0.951772173,9.514008313,8.638594182,-0.424218045,9.439153969,8.300606648,-0.943740644
0.168771002,1.701382367,-0.368197568,1.716856883,0.810939931,-0.454947533,6.247,6.764,-0.973,8.059656066,5.081819538,-0.951667292,9.604823261,8.766448299,-0.421727912,9.282286465,8.561604849,-0.947898109
0.336816693,1.675700766,-0.368444111,1.769360304,0.911701735,-0.458472022,6.345,6.855,-0.972,7.965279825,5.323346928,-0.95088206,9.675438106,8.450560013,-0.422830558,9.493803263,8.583267315,-0.951239835
0.392003991,1.884181413,-0.371116221,1.732355345,0.957992959,-0.457893143,6.403,6.756,-0.973,8.009957729,4.909640326,-0.95007345,9.621539801,8.818416357,-0.416609217,9.359668195,8.703542034,-0.953492133
0.314828349,1.98731008,-0.368350542,1.900057047,0.892610064,-0.462834302,6.381,6.948,-0.973,8.19873859,5.178109476,-0.950892573,9.618943959,8.848779432,-0.418012964,9.395792723,8.460019485,-0.95530425
0.212682402,1.703849621,-0.367345273,1.801888051,0.957292117,-0.457195672,6.376,6.854,-0.973,8.070928681,5.080680661,-0.950671163,9.741214752,8.419754299,-0.422782932,9.453956246,8.54612236,-0.956015976
0.275115696,1.890631556,-0.367060551,1.857949699,0.957255352,-0.457569929,6.498,6.944,-0.974,8.148916829,5.181819855,-0.95037792,9.787935585,8.562194975,-0.415653152,9.44402346,8.540740363,-0.957962841
0.468250509,2.017038876,-0.375463769,1.907931062,0.917551768,-0.46445911,6.555,6.965,-0.974,8.208658726,4.96372645,-0.950682221,9.847295105,8.437680753,-0.421330197,9.439071357,8.396782422,-0.95852408
